,pallets,weight,distance,avg_gas_price,quote,isMajorCity,shipmentType
0,2.0,3400,178.0,3.445,161.62,False,Sprinter Van
1,3.0,4100,89.0,3.445,510.0,False,LTL
2,3.0,4000,936.0,3.445,925.17,False,LTL
3,8.0,12800,754.0,3.445,2150.0,False,FTL
4,2.0,2300,26.0,3.445,80.81,False,Sprinter Van
5,3.0,4100,747.0,3.445,921.33,False,LTL
6,6.0,8800,799.0,3.445,1656.31,False,LTL
7,4.0,5000,960.0,3.445,1198.72,False,LTL
8,2.0,2400,10.0,3.445,80.5,False,Sprinter Van
9,8.0,10600,32.0,3.445,700.0,False,Box Truck
10,4.0,4700,933.0,3.501,1593.73,True,LTL
11,4.0,4800,121.0,3.501,600.0,False,Box Truck
12,6.0,7400,90.0,3.501,675.0,False,Box Truck
13,4.0,4800,1832.0,3.501,2165.02,False,LTL
14,3.0,4100,796.0,3.501,1078.34,False,LTL
15,10.0,16000,965.0,3.501,2300.0,False,FTL
16,10.0,16000,976.0,3.501,3400.0,True,Box Truck
17,3.0,4300,928.0,3.501,1297.86,False,LTL
18,3.0,4000,2172.0,3.501,1785.03,False,LTL
19,4.0,4600,823.0,3.501,1297.86,False,LTL
20,4.0,5000,5.0,3.501,400.0,False,Box Truck
21,4.0,4800,812.0,3.501,1027.34,False,LTL
22,9.0,12700,2142.0,3.501,5804.95,False,LTL
23,6.0,8300,24.0,3.501,425.0,False,Box Truck
24,13.0,17800,107.0,3.501,900.0,False,Box Truck
25,7.0,9900,931.0,3.535,1984.72,False,LTL
26,8.0,11000,980.0,3.535,2766.45,False,LTL
27,13.0,18000,4670.0,3.535,6516.45,False,Multiple
28,5.0,6600,977.0,3.535,1505.36,False,LTL
29,3.0,4000,2169.0,3.535,1999.91,False,LTL
30,2.0,2500,26.0,3.535,98.15,False,Sprinter Van
31,94.0,150900,26.0,3.535,1850.0,False,FTL
32,3.0,3500,178.0,3.711,104.15,False,Sprinter Van
33,3.0,3400,976.0,3.711,2050.0,True,Box Truck
34,2.0,2400,4.0,3.711,80.81,False,Sprinter Van
35,3.0,2900,49.0,3.711,80.81,False,Sprinter Van
36,7.0,9200,146.0,3.711,725.0,False,Box Truck
37,3.0,3600,2090.0,3.711,1635.93,False,LTL
38,5.0,6400,965.0,3.711,950.0,False,Box Truck
39,3.0,4100,965.0,3.711,950.0,False,Box Truck
40,5.0,7700,786.0,3.711,1234.79,False,LTL
41,6.0,7800,932.0,3.711,1436.31,False,LTL
42,4.0,4300,829.0,3.711,792.32,False,LTL
43,3.0,4000,523.0,3.711,867.04,False,LTL
44,3.0,3500,57.0,3.711,100.0,False,Sprinter Van
45,2.0,2400,15.0,3.711,103.0,False,Sprinter Van
46,14.0,20000,991.0,3.711,2150.0,False,FTL
47,5.0,6000,133.0,3.666,700.0,False,Box Truck
48,4.0,5400,1833.0,3.666,1431.77,False,LTL
49,3.0,3200,931.0,3.666,1098.83,False,LTL
50,3.0,4000,181.0,3.666,600.0,False,Box Truck
51,3.0,3900,2835.0,3.666,1672.76,False,Multiple
52,4.0,5000,2419.0,3.666,2144.0,False,LTL
53,3.0,3400,979.0,3.666,996.68,False,LTL
54,3.0,3500,200.0,3.666,80.81,False,Sprinter Van
55,3.0,3500,194.0,3.666,80.81,False,Sprinter Van
56,4.0,4900,2202.0,3.666,1994.62,False,LTL
57,2.0,2130,24.0,3.666,80.81,False,Sprinter Van
58,3.0,4500,965.0,3.666,1287.85,False,LTL
59,21.0,31700,936.0,3.684,5950.0,True,Multiple
60,6.0,8400,969.0,3.684,2329.81,False,LTL
61,4.0,5400,2206.0,3.684,2048.52,True,LTL
62,6.0,8400,1328.0,3.684,1890.78,False,LTL
63,6.0,8600,100.0,3.684,700.0,False,Box Truck
64,2.0,2500,10.0,3.684,40.41,False,Sprinter Van
65,3.0,3900,91.0,3.684,550.0,False,Box Truck
66,4.0,4500,735.0,3.684,866.14,False,LTL
67,12.0,17200,80.0,3.684,700.0,False,FTL
69,7.0,10900,878.0,3.684,1352.51,False,LTL
70,4.0,4300,1538.0,3.684,1207.55,False,LTL
71,7.0,9900,926.0,3.684,1984.72,False,LTL
72,4.0,4600,1894.0,3.684,1521.33,False,LTL
73,8.0,12200,1050.0,3.684,1626.98,False,LTL
74,12.0,16700,974.0,3.684,1775.0,True,FTL
75,12.0,16900,435.0,3.684,1200.0,False,FTL
76,6.0,8500,1000.0,3.684,1449.8,False,LTL
77,3.0,3500,23.0,3.712,80.81,False,Sprinter Van
78,5.0,7300,856.0,3.712,1407.91,False,LTL
79,2.0,2500,10.0,3.712,80.81,False,Sprinter Van
80,3.0,3200,1186.0,3.712,951.37,False,LTL
81,2.0,2700,51.0,3.712,80.81,False,Sprinter Van
82,3.0,4300,866.0,3.712,1224.49,False,LTL
83,12.0,16900,883.0,3.712,2470.0,False,FTL
84,2.0,2500,24.0,3.712,80.81,False,Sprinter Van
85,10.0,16200,744.0,3.712,2350.0,False,FTL
86,2.0,2400,400.0,3.712,699.72,False,LTL
87,3.0,3900,1196.0,3.712,965.98,False,LTL
88,3.0,3400,533.0,3.712,837.75,False,LTL
89,10.0,15600,2175.0,3.712,3977.95,False,Multiple
90,3.0,3800,796.0,3.712,1082.31,False,LTL
91,2.0,2500,12.0,3.712,40.41,False,Sprinter Van
92,3.0,4300,23.0,3.954,350.0,False,Box Truck
93,3.0,3900,1915.0,3.954,1800.0,False,LTL
94,3.0,3900,793.0,3.954,939.96,False,LTL
95,49.0,81500,11.0,3.954,1650.0,False,Multiple
96,5.0,6400,515.0,3.954,954.69,False,LTL
97,3.0,3900,970.0,3.954,1095.09,False,LTL
98,3.0,3900,88.0,3.954,625.0,False,Box Truck
99,4.0,5000,976.0,3.954,1000.0,True,FTL
100,5.0,7800,1003.0,3.954,1250.0,False,FTL
101,15.0,21500,1015.0,3.954,3360.0,False,Multiple
102,3.0,3900,871.0,3.954,746.35,False,LTL
103,2.0,2600,30.0,3.954,121.21,False,Sprinter Van
104,3.0,3400,968.0,3.954,1950.0,False,Box Truck
105,5.0,6400,91.0,3.958,600.0,False,Box Truck
106,2.0,2900,9.0,3.958,250.0,False,Sprinter Van
107,5.0,6700,19.0,3.958,550.0,False,Box Truck
108,3.0,3900,851.0,3.958,1290.0,False,LTL
109,24.0,43000,392.0,3.958,2000.0,False,FTL
110,32.0,42000,1065.0,3.958,3725.0,True,Multiple
111,18.0,42000,1066.0,3.958,3300.0,False,FTL
112,32.0,51900,747.0,3.958,4550.0,False,FTL
113,23.0,43000,78.0,3.958,1050.0,False,FTL
114,2.0,2600,13.0,3.958,134.73,False,Sprinter Van
115,3.0,3300,925.0,3.958,752.58,False,LTL
116,5.0,6500,1012.0,3.958,1272.58,False,LTL
117,3.0,3300,935.0,3.958,1625.0,False,Box Truck
118,3.0,3300,935.0,3.958,1625.0,False,Box Truck
119,4.0,4800,1182.0,3.958,1333.99,False,LTL
120,4.0,4600,1000.0,3.958,1375.89,False,LTL
121,4.0,4600,1172.0,3.958,1029.5,False,LTL
122,7.0,9700,532.0,3.958,1200.0,False,Box Truck
123,15.0,21200,1113.0,3.958,1980.0,False,FTL
124,2.0,2500,10.0,3.958,94.34,False,Sprinter Van
125,5.0,7000,928.0,3.958,1845.02,False,LTL
126,3.0,3700,206.0,3.958,94.34,False,Sprinter Van
127,4.0,4500,34.0,3.958,400.0,False,Box Truck
128,2.0,2500,11.0,3.958,94.34,False,Sprinter Van
129,11.0,16900,956.0,3.742,1800.0,False,FTL
130,7.0,10900,2332.0,3.742,3161.11,False,LTL
131,4.0,6800,2540.0,3.742,4731.44,False,LTL
132,4.0,5500,19.0,3.742,400.0,False,Box Truck
133,3.0,4100,2206.0,3.742,1918.82,True,LTL
134,3.0,3500,15.0,3.742,121.21,False,Sprinter Van
135,2.0,2500,178.0,3.742,121.21,False,Sprinter Van
136,3.0,4600,1055.0,3.742,1089.25,False,LTL
137,22.0,20000,931.0,3.742,13512.5,True,FTL
138,22.0,20000,931.0,3.742,3044.38,True,FTL
139,5.0,6100,853.0,3.742,1950.0,False,Box Truck
140,3.0,4100,11.0,3.742,375.0,False,Box Truck
