Month,U.S. All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
12/2023,3.257
11/2023,3.443
10/2023,3.742
9/2023,3.958
8/2023,3.954
7/2023,3.712
6/2023,3.684
5/2023,3.666
4/2023,3.711
3/2023,3.535
2/2023,3.501
1/2023,3.445
12/2022,3.324
11/2022,3.799
10/2022,3.935
9/2022,3.817
8/2022,4.087
7/2022,4.668
6/2022,5.032
5/2022,4.545
4/2022,4.213
3/2022,4.322
2/2022,3.611
1/2022,3.413
12/2021,3.406
11/2021,3.491
10/2021,3.384
9/2021,3.272
8/2021,3.255
7/2021,3.231
6/2021,3.157
5/2021,3.076
4/2021,2.948
3/2021,2.898
2/2021,2.587
1/2021,2.42
12/2020,2.284
11/2020,2.2
10/2020,2.248
9/2020,2.274
8/2020,2.272
7/2020,2.272
6/2020,2.17
5/2020,1.961
4/2020,1.938
3/2020,2.329
2/2020,2.533
1/2020,2.636
12/2019,2.645
11/2019,2.693
10/2019,2.724
9/2019,2.681
8/2019,2.707
7/2019,2.823
6/2019,2.804
5/2019,2.946
4/2019,2.881
3/2019,2.594
2/2019,2.393
1/2019,2.338
12/2018,2.457
11/2018,2.736
10/2018,2.943
9/2018,2.915
8/2018,2.914
7/2018,2.928
6/2018,2.97
5/2018,2.987
4/2018,2.873
3/2018,2.709
2/2018,2.705
1/2018,2.671
12/2017,2.594
11/2017,2.678
10/2017,2.621
9/2017,2.761
8/2017,2.494
7/2017,2.414
6/2017,2.46
5/2017,2.503
4/2017,2.528
3/2017,2.437
2/2017,2.416
1/2017,2.458
12/2016,2.366
11/2016,2.295
10/2016,2.359
9/2016,2.327
8/2016,2.284
7/2016,2.345
6/2016,2.467
5/2016,2.371
4/2016,2.216
3/2016,2.071
2/2016,1.872
1/2016,2.057
12/2015,2.144
11/2015,2.26
10/2015,2.387
9/2015,2.462
8/2015,2.726
7/2015,2.88
6/2015,2.885
5/2015,2.802
4/2015,2.555
3/2015,2.546
2/2015,2.301
1/2015,2.208
12/2014,2.632
11/2014,2.997
10/2014,3.255
9/2014,3.484
8/2014,3.565
7/2014,3.688
6/2014,3.766
5/2014,3.75
4/2014,3.735
3/2014,3.606
2/2014,3.434
1/2014,3.392
12/2013,3.357
11/2013,3.322
10/2013,3.42
9/2013,3.604
8/2013,3.645
7/2013,3.661
6/2013,3.689
5/2013,3.675
4/2013,3.638
3/2013,3.779
2/2013,3.736
1/2013,3.391
12/2012,3.381
11/2012,3.521
10/2012,3.812
9/2012,3.91
8/2012,3.78
7/2012,3.498
6/2012,3.596
5/2012,3.791
4/2012,3.958
3/2012,3.907
2/2012,3.64
1/2012,3.44
12/2011,3.326
11/2011,3.443
10/2011,3.506
9/2011,3.667
8/2011,3.696
7/2011,3.705
6/2011,3.735
5/2011,3.96
4/2011,3.852
3/2011,3.615
2/2011,3.264
1/2011,3.148
12/2010,3.048
11/2010,2.913
10/2010,2.853
9/2010,2.757
8/2010,2.783
7/2010,2.782
6/2010,2.785
5/2010,2.89
4/2010,2.9
3/2010,2.824
2/2010,2.699
1/2010,2.769
12/2009,2.663
11/2009,2.706
10/2009,2.605
9/2009,2.609
8/2009,2.67
7/2009,2.582
6/2009,2.681
5/2009,2.316
4/2009,2.102
3/2009,2.011
2/2009,1.975
1/2009,1.84
12/2008,1.745
11/2008,2.208
10/2008,3.112
9/2008,3.756
8/2008,3.833
7/2008,4.114
6/2008,4.105
5/2008,3.815
4/2008,3.507
3/2008,3.293
2/2008,3.078
1/2008,3.095
12/2007,3.07
11/2007,3.128
10/2007,2.853
9/2007,2.849
8/2007,2.834
7/2007,3.011
6/2007,3.102
5/2007,3.187
4/2007,2.891
3/2007,2.609
2/2007,2.323
1/2007,2.289
12/2006,2.359
11/2006,2.275
10/2006,2.293
9/2006,2.606
8/2006,2.999
7/2006,3.025
6/2006,2.93
5/2006,2.953
4/2006,2.787
3/2006,2.468
2/2006,2.326
1/2006,2.36
12/2005,2.229
11/2005,2.303
10/2005,2.765
9/2005,2.951
8/2005,2.529
7/2005,2.333
6/2005,2.198
5/2005,2.205
4/2005,2.285
3/2005,2.12
2/2005,1.953
1/2005,1.875
12/2004,1.887
11/2004,2.023
10/2004,2.042
9/2004,1.912
8/2004,1.92
7/2004,1.954
6/2004,2.013
5/2004,2.023
4/2004,1.839
3/2004,1.778
2/2004,1.69
1/2004,1.614
12/2003,1.522
11/2003,1.555
10/2003,1.606
9/2003,1.721
8/2003,1.661
7/2003,1.554
6/2003,1.533
5/2003,1.539
4/2003,1.633
3/2003,1.734
2/2003,1.655
1/2003,1.5
12/2002,1.429
11/2002,1.461
10/2002,1.486
9/2002,1.441
8/2002,1.438
7/2002,1.438
6/2002,1.424
5/2002,1.434
4/2002,1.439
3/2002,1.289
2/2002,1.155
1/2002,1.148
12/2001,1.127
11/2001,1.212
10/2001,1.357
9/2001,1.557
8/2001,1.461
7/2001,1.466
6/2001,1.658
5/2001,1.738
4/2001,1.591
3/2001,1.45
2/2001,1.49
1/2001,1.487
12/2000,1.483
11/2000,1.557
10/2000,1.571
9/2000,1.588
