,pallets,weight,distance,avg_gas_price,quote,Old Calculator,Old Calculator - With 15% Cost Cushion,ML Calculator Results
0,3.0,4100,89.0,3.445,510.0,517.938,625.410135,525.283013342121
1,3.0,4000,936.0,3.445,925.17,807.6120000000001,975.19149,1119.1709857762507
2,3.0,4100,747.0,3.445,921.33,742.974,897.141105,995.2134532531911
3,6.0,8800,799.0,3.445,1656.31,1349.016,1628.9368200000001,1888.6768586100316
4,4.0,5000,960.0,3.445,1198.72,1030.26,1244.0389499999999,1359.2925586697152
5,4.0,4700,933.0,3.501,1593.73,1017.9480000000001,1229.17221,1303.681794025735
6,4.0,4800,1832.0,3.501,2165.02,1427.892,1724.1795900000002,1956.7521013556307
7,3.0,4100,796.0,3.501,1078.34,759.732,917.3763899999999,1026.9478309531294
8,3.0,4300,928.0,3.501,1297.86,804.876,971.88777,1143.2645658380827
9,3.0,4000,2172.0,3.501,1785.03,1230.324,1485.61623,1998.637023315764
10,4.0,4600,823.0,3.501,1297.86,967.788,1168.60401,1214.0995065892046
11,4.0,4800,812.0,3.501,1027.34,962.7719999999999,1162.54719,1228.2885014934848
12,9.0,12700,2142.0,3.501,5804.95,3315.192,4003.09434,3612.706301887779
13,7.0,9900,931.0,3.535,1984.72,1650.438,1992.9038850000002,2211.712362397269
14,8.0,11000,980.0,3.535,2766.45,1906.26,2301.80895,2480.710922738752
15,5.0,6600,977.0,3.535,1505.36,1254.3899999999999,1514.6759249999998,1655.3097997294785
16,3.0,4000,2169.0,3.535,1999.91,1229.298,1484.3773350000001,1994.5149290665813
17,3.0,3600,2090.0,3.711,1635.93,1202.28,1451.7531,1883.7576549208618
18,5.0,7700,786.0,3.711,1234.79,1145.52,1383.2154,1629.9016773698465
19,6.0,7800,932.0,3.711,1436.31,1439.9879999999998,1738.7855099999997,1857.9508231842522
20,4.0,4300,829.0,3.711,792.32,970.524,1171.90773,1173.0904656338057
21,3.0,4000,523.0,3.711,867.04,666.366,804.636945,808.7275449382312
22,4.0,5400,1833.0,3.666,1431.77,1428.348,1724.73021,2013.9945457349918
23,3.0,3200,931.0,3.666,1098.83,805.902,973.1266650000001,1014.5530835434295
24,4.0,5000,2419.0,3.666,2144.0,1695.564,2047.39353,2388.414075850206
25,3.0,3400,979.0,3.666,996.68,822.318,992.948985,1070.8786984397354
26,4.0,4900,2202.0,3.666,1994.62,1596.612,1927.9089900000001,2222.414528428137
27,3.0,4500,965.0,3.666,1287.85,817.53,987.167475,1182.1275404069913
28,6.0,8400,969.0,3.684,2329.81,1465.296,1769.34492,1952.0824068505399
29,4.0,5400,2206.0,3.684,2048.52,1598.4360000000001,1930.1114700000003,2279.3356863759745
30,6.0,8400,1328.0,3.684,1890.78,1710.8519999999999,2065.8537899999997,2208.4730268020203
31,4.0,4500,735.0,3.684,866.14,927.6600000000001,1120.1494500000001,1129.5745195122117
32,7.0,10900,878.0,3.684,1352.51,1608.1439999999998,1941.8338799999997,2275.410591530498
33,4.0,4300,1538.0,3.684,1207.55,1293.828,1562.29731,1681.0160845008916
34,7.0,9900,926.0,3.684,1984.72,1646.448,1988.0859600000001,2199.466357010043
35,4.0,4600,1894.0,3.684,1521.33,1456.164,1758.3180300000001,1968.3316268069675
36,8.0,12200,1050.0,3.684,1626.98,1970.1,2378.8957499999997,2654.29826675815
37,6.0,8500,1000.0,3.684,1449.8,1486.5,1794.94875,1985.2444742977468
38,5.0,7300,856.0,3.712,1407.91,1185.42,1431.3946500000002,1635.7461053709876
